"","Invsimpson","Site"
"C1A17",12.1746200677664,"Chanaral"
"C1F18",18.4438906448136,"Chanaral"
"C1A18",15.7602722780788,"Chanaral"
"C2A17",12.6464887993959,"Chanaral"
"C2F18",34.529645942282,"Chanaral"
"C2A18",22.2092464963842,"Chanaral"
"C3A17",9.63069235093391,"Chanaral"
"C3F18",18.1773170206465,"Chanaral"
"C3A18",75.1409506741809,"Chanaral"
"C4A17",17.0377830188679,"Chanaral"
"C4F18",26.0993183268582,"Chanaral"
"C4A18",54.9378900716931,"Chanaral"
"F1A17",33.0226126459822,"Flamenco"
"F1F18",6.41931339434117,"Flamenco"
"F1A18",22.0998794673766,"Flamenco"
"F2A17",38.6311374965358,"Flamenco"
"F2F18",10.4483483201675,"Flamenco"
"F2A18",9.3335381905019,"Flamenco"
"F3A17",27.7631698255983,"Flamenco"
"F3F18",34.8590044092617,"Flamenco"
"F3A18",24.6897964421437,"Flamenco"
"F4A17",27.5966808966754,"Flamenco"
"F4F18",30.5118592240878,"Flamenco"
"F4A18",17.0890984063789,"Flamenco"
"H1A17",8.18375794191004,"Huasco"
"H1F18",6.35235862044637,"Huasco"
"H1A18",7.37704422156091,"Huasco"
"H2A17",6.46727173618846,"Huasco"
"H2F18",7.17314000028091,"Huasco"
"H2A18",7.53275152829801,"Huasco"
"H3A17",6.5076947832884,"Huasco"
"H3F18",7.55273656470612,"Huasco"
"H3A18",6.94883182383005,"Huasco"
"H4A17",7.34616819604226,"Huasco"
"H4F18",7.08382897938502,"Huasco"
"H4A18",11.9147542861091,"Huasco"
"P1F18",13.5773362112447,"Pta_Choros"
"P1A18",21.7235589300266,"Pta_Choros"
"P2F18",16.6229450551406,"Pta_Choros"
"P3F18",16.6215081240081,"Pta_Choros"
"P4F18",14.0976169035035,"Pta_Choros"
"Q1A17",59.2470997218193,"Quintero"
"Q1F18",14.1229842079796,"Quintero"
"Q2A17",37.6982586918628,"Quintero"
"Q2F18",14.961941258966,"Quintero"
"Q3A17",43.6671237171894,"Quintero"
"Q3F18",18.8892376488214,"Quintero"
"Q3A18",22.7858362553191,"Quintero"
"Q4A17",42.686408257138,"Quintero"
"Q4F18",31.1823416286346,"Quintero"
"Q4A18",12.4054382641746,"Quintero"
"L1A17",7.8973049266791,"Las_Cruces"
"L1F18",22.5127828440387,"Las_Cruces"
"L1A18",16.7014139527394,"Las_Cruces"
"L2A17",12.0495691228689,"Las_Cruces"
"L2F18",16.0129378837504,"Las_Cruces"
"L2A18",10.3100911688543,"Las_Cruces"
"L3A17",10.418892703939,"Las_Cruces"
"L3F18",9.16097241618236,"Las_Cruces"
"L3A18",14.0513823764337,"Las_Cruces"
"L4A17",7.33635728108512,"Las_Cruces"
"L4F18",8.8870471986622,"Las_Cruces"
"L4A18",8.8768413908288,"Las_Cruces"
