"";"ASV0001";"ASV0003";"ASV0006";"ASV0008";"ASV0013";"ASV0016";"ASV0017";"ASV0021";"ASV0023";"ASV0025";"ASV0029";"ASV0030";"ASV0032";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0042";"ASV0043";"ASV0045";"ASV0048";"ASV0050";"ASV0052";"ASV0053";"ASV0056";"ASV0063";"ASV0064";"ASV0071";"ASV0072";"ASV0073";"ASV0077";"ASV0081";"ASV0083";"ASV0085";"ASV0086";"ASV0097";"ASV0101";"ASV0102";"ASV0104";"ASV0107";"ASV0118";"ASV0120";"ASV0127";"ASV0134";"ASV0135";"ASV0142";"ASV0143";"ASV0145";"ASV0147";"ASV0190";"ASV0206";"ASV0210";"ASV0223";"ASV0238";"ASV0261";"ASV0270";"ASV0273";"ASV0277";"ASV0279";"ASV0315";"ASV0325";"ASV0349";"ASV0382";"ASV0395";"ASV0403";"ASV0425";"ASV0442";"ASV0452";"ASV0456";"ASV0462";"ASV0501";"ASV0510";"ASV0561";"ASV0569";"ASV0631";"ASV0652";"ASV0676";"ASV0688";"ASV0711";"ASV0720";"ASV0775";"ASV0799";"ASV0834";"ASV0838";"ASV0867";"ASV0882";"ASV0932";"ASV1079";"ASV1112";"ASV1119";"ASV1191";"ASV1207";"ASV1272";"ASV1284";"ASV1335";"ASV1389";"ASV1403";"ASV1411";"ASV1412";"ASV1506";"ASV1593";"ASV1742";"ASV2590"
"Q4F18";256;183;178;102;64;0;0;0;0;54;0;190;102;0;0;0;0;0;0;55;0;111;125;54;0;0;0;0;0;29;0;34;0;16;16;0;85;0;0;0;37;0;0;0;0;0;19;0;0;0;0;0;107;0;0;0;0;0;15;0;0;0;10;0;0;0;0;0;0;79;0;56;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
"Q4A18";6051;4659;4225;2929;1225;981;879;275;774;291;251;0;148;206;639;402;244;639;229;121;93;104;0;0;267;0;249;3;127;0;38;3;0;142;87;4;31;0;87;95;0;66;84;0;0;0;76;0;52;69;66;50;0;73;21;57;59;13;0;81;11;80;0;14;0;0;0;8;81;0;0;0;0;0;56;0;0;0;114;0;0;0;0;0;0;0;29;10;0;0;11;0;6;0;0;0;26;0;0;0;0;0;0;1;0;0
"L1A17";4408;3382;3145;2046;835;628;603;309;245;136;274;0;127;215;213;250;116;202;110;73;0;98;0;16;178;20;166;13;86;0;0;0;0;0;0;0;0;0;46;63;0;10;43;0;0;0;0;27;5;0;0;9;0;37;9;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;3;9;0
"L1F18";470;386;331;217;95;0;0;61;35;291;0;0;114;0;0;42;235;0;211;59;0;0;0;0;18;0;15;21;45;45;0;0;0;0;0;0;0;0;0;0;0;2;37;0;14;0;0;0;0;0;0;4;14;13;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;89;0;0;0;0;0;0;46;157;0;0;0;6;0;0;109;0;0;0;5;0;0;62;0;0;0;0;0;0;0
"L1A18";3778;3099;2889;2009;775;578;585;113;143;580;74;0;143;84;122;119;441;107;407;104;2215;111;0;65;125;0;100;0;110;37;0;0;37;0;0;0;34;138;83;0;32;0;86;29;0;0;0;89;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;71;60;0;0;0;0;0;0;0;0;48;0;67;0;42;0;0;0;41;0;0;0;0;0;3;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;2;0;0
"L2A17";3552;2802;2653;1656;694;490;494;244;202;115;212;0;194;143;178;166;0;140;0;158;0;151;0;0;124;0;107;10;159;0;0;0;0;0;44;0;0;119;131;42;0;37;105;0;15;0;0;91;10;0;0;26;0;25;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
"L2F18";3910;3071;2878;1779;412;316;287;265;131;1446;186;70;215;174;96;214;1234;81;1091;178;1365;165;61;37;219;0;197;24;86;35;0;21;22;90;0;30;42;0;76;2;51;16;51;29;0;0;5;25;14;0;2;6;51;0;29;2;0;28;18;0;23;9;0;74;45;0;0;26;0;63;0;144;39;0;0;0;116;0;0;0;0;0;0;40;39;0;42;12;0;0;8;0;8;43;0;0;42;25;0;0;0;0;24;3;3;6
"L2A18";5145;3988;3775;2689;1506;1056;1073;306;239;257;237;0;346;240;221;379;203;191;165;297;58;300;0;65;292;0;266;0;92;0;0;0;0;0;0;0;0;124;69;0;0;0;53;0;0;29;38;0;0;0;79;0;61;0;0;0;0;0;0;0;0;0;0;61;67;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;7;0;4;0;0;2;0;0;0;0;0;0;0;5;0;0
"L3A17";4162;3165;3046;2030;1111;822;794;289;263;0;286;0;115;236;232;199;78;176;0;93;0;85;0;0;159;0;166;0;150;0;0;0;0;0;24;0;0;127;107;46;0;10;114;0;0;0;0;0;9;0;0;6;44;12;7;0;0;0;0;0;0;0;17;0;0;13;11;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;18;0;0;8;0;9;0;0;0;0;0;0;0;0;13;0;5;0;0
"L3F18";1882;1435;1313;776;191;127;131;93;60;389;67;0;74;62;30;98;254;32;258;46;0;49;35;35;71;15;92;28;25;0;0;0;0;38;0;19;28;12;31;0;0;3;22;0;0;0;0;0;5;0;0;3;0;0;23;0;0;0;14;19;15;13;0;59;21;0;9;7;0;33;0;76;0;0;0;0;39;0;0;0;0;0;0;30;0;0;0;8;0;0;1;21;1;0;0;0;15;9;0;0;0;0;8;1;0;0
"L3A18";5948;4696;4311;3192;1537;1142;1113;174;294;746;139;0;166;151;253;182;567;210;516;138;1020;131;26;94;140;97;137;0;98;62;78;0;85;0;76;0;0;68;121;98;0;0;115;0;0;0;87;49;0;98;76;0;8;0;0;84;95;0;0;100;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;10;0;33;3;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
"L4A17";4720;3709;3487;2376;957;800;703;361;287;139;241;0;67;256;221;220;0;243;0;39;0;52;0;0;171;0;158;9;92;0;21;0;0;0;0;0;0;0;72;26;0;9;52;0;0;0;0;88;7;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;5;8;0;5;0;0;0;0;0;0;0;0;0;0;0;9;0
"L4F18";4552;3607;3298;2130;558;397;411;361;233;431;278;57;129;253;211;271;293;147;324;138;0;151;40;0;175;61;197;98;84;46;0;84;15;45;0;85;0;0;68;2;33;10;53;9;0;0;4;0;12;0;7;9;39;19;46;1;0;40;15;29;40;0;0;0;0;0;0;33;0;0;22;0;0;15;0;0;0;0;15;7;0;0;19;34;0;0;0;2;0;42;4;0;1;14;15;0;7;25;0;9;0;0;18;3;0;0
"L4A18";6526;4971;4699;3081;1623;1364;1189;199;168;503;159;35;345;126;137;345;446;95;418;262;0;252;0;0;293;56;236;0;77;28;0;0;0;32;0;0;0;39;76;0;0;12;73;0;0;0;0;61;18;84;0;7;112;0;0;0;56;0;0;0;0;0;0;77;78;0;0;0;25;0;0;0;0;0;19;0;0;0;0;0;26;0;34;0;0;0;0;12;0;0;6;0;2;0;0;10;0;0;0;0;9;0;0;3;0;0
