"";"ASV0001";"ASV0003";"ASV0006";"ASV0008";"ASV0013";"ASV0016";"ASV0017";"ASV0021";"ASV0023";"ASV0025";"ASV0029";"ASV0030";"ASV0032";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0042";"ASV0043";"ASV0045";"ASV0048";"ASV0050";"ASV0052";"ASV0053";"ASV0056";"ASV0063";"ASV0064";"ASV0071";"ASV0072";"ASV0073";"ASV0077";"ASV0081";"ASV0083";"ASV0085";"ASV0086";"ASV0097";"ASV0101";"ASV0102";"ASV0104";"ASV0107";"ASV0118";"ASV0120";"ASV0127";"ASV0134";"ASV0135";"ASV0142";"ASV0143";"ASV0145";"ASV0147";"ASV0190";"ASV0206";"ASV0210";"ASV0223";"ASV0238";"ASV0261";"ASV0270";"ASV0273";"ASV0277";"ASV0279";"ASV0315";"ASV0325";"ASV0349";"ASV0382";"ASV0395";"ASV0403";"ASV0425";"ASV0442";"ASV0452";"ASV0456";"ASV0462";"ASV0501";"ASV0510";"ASV0561";"ASV0569";"ASV0631";"ASV0652";"ASV0676";"ASV0688";"ASV0711";"ASV0720";"ASV0775";"ASV0799";"ASV0834";"ASV0838";"ASV0867";"ASV0882";"ASV0932";"ASV1079";"ASV1112";"ASV1119";"ASV1191";"ASV1207";"ASV1272";"ASV1284";"ASV1335";"ASV1389";"ASV1403";"ASV1411";"ASV1412";"ASV1506";"ASV1593";"ASV1742";"ASV2590"
"C4F18";0;32;63;0;0;0;57;262;5;0;206;2755;0;181;0;0;0;1;0;0;89;0;2057;35;0;223;0;0;48;20;196;25;31;197;186;0;22;36;42;0;20;4;37;36;137;175;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;22;88;0;0;0;0;0;0;130;67;0;81;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;11;0;3;0;0;0;0;0;0;0;0;0;6
"C4A18";782;680;577;368;847;730;614;146;315;71;107;31;152;80;213;37;0;199;0;93;0;123;0;169;29;166;14;964;182;123;119;726;116;0;101;756;260;0;137;949;198;191;104;194;0;0;727;0;155;151;659;146;0;47;279;462;116;258;8;86;188;24;30;68;0;0;0;153;0;0;29;0;0;40;0;14;16;16;38;90;0;10;0;0;0;7;37;0;48;0;0;0;0;0;9;15;0;0;0;3;0;0;0;0;0;0
"F1A17";556;449;449;323;161;119;124;461;95;0;328;0;507;365;77;28;0;65;0;340;0;399;0;0;28;280;13;78;716;0;233;0;0;57;190;0;0;0;587;15;0;48;501;0;0;0;0;22;40;67;0;48;100;0;2;0;52;0;0;0;0;0;0;73;67;0;0;0;0;0;0;0;0;0;0;0;0;0;17;43;0;0;3;0;16;0;0;7;27;0;9;21;7;0;0;0;0;0;11;1;0;0;0;7;0;0
"F1F18";253;179;201;98;0;0;37;61;20;0;0;109;119;0;0;0;0;0;9;0;0;0;81;51;0;0;0;30;43;35;75;0;24;109;0;0;16;0;0;0;15;19;0;13;86;91;0;0;0;0;0;0;0;106;0;0;0;0;19;0;0;26;171;19;0;0;48;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;36;32;0;0;5;0;16;0;18;0;0;0;1;11;0;18;0;0;0;0;0;0;6
"F1A18";2791;2033;1895;1279;372;308;227;66;115;911;43;0;299;57;102;108;737;76;667;241;0;208;0;1019;87;0;85;57;197;715;42;57;768;173;0;48;388;0;131;48;328;141;113;292;166;162;42;35;109;23;39;99;27;0;22;26;38;35;394;29;27;124;0;0;31;0;0;12;24;0;48;0;0;0;0;86;15;93;33;9;0;74;33;1;0;11;0;4;0;33;7;0;3;4;0;0;14;1;0;0;0;0;1;4;8;0
"F2A17";681;491;510;313;197;187;211;647;138;67;495;0;193;380;107;33;89;110;76;124;0;178;0;38;18;234;26;92;213;0;178;58;0;291;185;83;27;46;136;7;0;84;161;0;220;227;12;0;83;5;6;59;46;0;1;10;0;2;26;0;1;0;0;0;0;0;0;2;0;0;0;0;0;26;0;0;0;0;59;0;0;0;0;7;0;0;0;11;0;0;11;0;3;1;0;2;17;2;0;2;0;0;2;2;0;0
"F2F18";672;538;507;375;36;73;50;37;36;0;34;17;85;20;36;32;0;20;0;80;0;42;9;121;20;75;17;59;12;62;0;0;82;193;0;0;41;38;10;0;38;17;21;30;119;121;0;0;15;0;0;34;0;51;1;0;0;0;0;0;0;56;82;0;27;77;94;1;0;0;110;0;35;0;0;14;0;7;0;20;0;5;0;38;41;0;0;7;0;8;2;24;0;0;0;0;0;0;0;28;0;7;5;0;0;4
"F2A18";6340;4775;4375;2980;948;707;668;133;237;291;96;0;233;99;168;252;210;161;168;174;0;172;0;354;222;48;182;194;132;246;0;162;268;37;0;149;123;42;85;136;102;153;90;87;46;73;88;0;97;42;99;106;58;0;80;64;0;55;101;0;68;37;0;0;0;0;0;56;52;0;73;0;0;49;0;33;0;42;0;29;0;18;32;1;0;12;0;8;20;0;3;0;5;3;12;0;0;0;0;26;2;15;2;2;0;0
"F3A17";368;286;235;155;82;53;61;231;52;115;231;0;73;190;42;0;80;32;80;0;0;49;0;0;0;92;0;0;82;56;58;35;0;180;56;24;0;0;68;0;0;27;58;0;128;119;18;0;25;0;3;24;18;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0
"F3F18";1118;949;851;517;165;104;117;69;75;16;52;12;382;48;61;51;0;55;0;344;23;308;7;43;55;64;37;68;109;38;90;50;28;156;37;65;12;49;64;11;14;65;54;15;113;123;17;0;72;0;13;54;0;197;10;7;0;2;22;0;11;39;31;66;22;187;153;6;0;23;134;0;30;0;0;17;0;4;0;56;0;9;0;28;0;0;0;7;0;18;3;0;7;16;0;0;0;15;16;1;0;7;12;1;0;7
