Sample;Site;Input_reads;After_filtering;denoisedF;denoisedR;Merged;Chimera_removal;ASV;ASV_abundance;Euks_ASV_abundance;Chao1;Chao1_std_error;ACE;ACE_std_error;Shannon_index;Simpson_index;Invsimpson;Unbiased_Simpson;ASV_PPE;ASV_PPE_abundance;PPE_Chao1;PPE_Chao1_std_error;PPE_ACE;PPE_ACE_std_error;PPE_Shannon_index;PPE_Simpson_index;PPE_Invsimpson;PPE_unbiased_Simpson;ASV_Core;ASV_Core_Abundance;Core_Chao1;Core_Chao1_std_error;Core_ACE;Core_ACE_std_error;Core_Shannon_index;Core_Simpson_index;Core_Invsimpson;Core_unbiased_Simpson
F2A17;Flamenco;75502;60307;59477;59252;55092;49772;456;49464;49246;460.3333333;3.403981544;461.1352454;8.796328993;4.338947629;0.958668651;24.19471001;0.958688118;144;10252;144.5454545;0.98723414;145.7240457;5.170771591;4.121890029;0.974114146;38.6311375;0.974209172;64;7949;64.375;0.826133344;66.16157133;3.464547949;3.485188075;0.959171138;24.49247801;0.959291819
F2F18;Flamenco;81498;69824;69035;68752;65145;59661;603;59290;58220;608.6666667;3.870848095;608.7385406;10.74581584;4.766142279;0.976681833;42.88501751;0.976698609;157;20387;158;1.449732625;158.7859801;5.666774828;3.151191959;0.904291093;10.44834832;0.904335451;63;4658;63.5;1.295624071;63.68040865;3.062956476;3.330717113;0.936451148;15.73592549;0.936656195
F2A18;Flamenco;89908;74920;73885;73317;68536;56986;587;56715;55699;592.6666667;3.870846099;591.7463992;11.43566127;4.248549054;0.954113213;21.7927656;0.954130343;173;29632;173.75;1.255574911;174.1468501;5.90231132;3.122402786;0.892859494;9.333538191;0.892889627;75;27508;75;0.12416387;75.531328;2.611910047;2.764200173;0.87579612;8.051278261;0.875827959
F3A17;Flamenco;76898;60071;59462;59481;55869;51014;239;50835;50662;242;3.419656355;240.7570094;6.371804996;3.372717433;0.923555118;13.08132045;0.923573348;77;4126;77.33333333;0.924916436;77.56065916;3.770170266;3.692558119;0.963981058;27.76316983;0.964214751;42;3511;42;0.24700588;42.49682467;2.374364911;3.287659733;0.951968915;20.81985019;0.952240131
F3F18;Flamenco;87351;74445;73675;73133;68722;61494;943;60979;60342;985;18.7985041;958.3058981;11.68186198;6.033558561;0.995129852;205.3325841;0.995146344;206;13967;213.2;6.440397276;209.0029709;6.380451634;4.262836939;0.971313007;34.85900441;0.971382556;81;8004;81.5;1.296378864;81.59430874;3.341996442;3.425207612;0.940225789;16.72962279;0.940343273
F3A18;Flamenco;89056;75348;74542;74461;70344;59691;372;59431;59029;374.8;2.829198875;374.0495612;8.716292911;3.88972401;0.946366812;18.64517155;0.946382844;141;19260;141.25;0.736394852;141.509795;4.99458869;3.735906352;0.959497438;24.68979644;0.959547259;70;16276;70;0;70;2.661900503;3.259606202;0.944872181;18.13966191;0.944930238
F4A17;Flamenco;73032;59050;58656;58455;55026;48461;174;48323;48211;174;0.249280574;174.1498471;5.913558706;3.025145697;0.908239098;10.89788761;0.908257937;47;2444;47;0;47;2.902676681;3.506644842;0.963763758;27.5966809;0.964158258;33;1988;33;0;33;2.46182982;3.175014445;0.951244185;20.51037418;0.951722919
F4F18;Flamenco;90657;77590;76709;76208;71004;63662;956;63067;62721;966.5416667;5.932367998;964.5142119;12.07123981;6.009676194;0.994644516;186.7244971;0.994660375;199;14039;199.375;0.826482964;199.7560978;6.375347256;4.167403491;0.967225858;30.51185922;0.967294759;65;8181;65;0;65;3.396831102;3.238244688;0.929993669;14.28442235;0.93010736
F4A18;Flamenco;91630;77850;76752;76406;69995;55192;629;54854;54570;634;3.302568159;636.1897003;11.71898244;4.484739177;0.962447676;26.62951048;0.962465313;198;22360;198.6666667;1.146760124;199.1468585;6.215006385;3.780706132;0.941483162;17.08909841;0.94152527;76;19243;76;0.165566545;76.27272727;2.725491869;3.231188512;0.921525589;12.74300736;0.92157348
H1A17;Huasco;85435;72558;71522;71279;67534;61098;517;60729;60572;518;1.309922803;518.7995975;10.18717934;4.273265937;0.956583088;23.03249961;0.956598881;175;32867;175.1666667;0.543423267;175.5221349;5.842324868;2.953911395;0.877806748;8.183757942;0.877833456;62;28986;62;0;62;3.372086556;2.391469276;0.843452871;6.387852691;0.843481971
H1F18;Huasco;89990;74731;73819;73641;69972;64597;491;64289;64198;491.4761905;0.846182738;492.2438248;9.756720562;3.813912366;0.919432643;12.41197481;0.919446966;140;45578;140.0909091;0.358764519;140.787898;5.112447046;2.487547086;0.842578157;6.35235862;0.842596644;61;43924;61;0;61;2.142466787;2.270399165;0.830534389;5.900902214;0.830553298
H1A18;Huasco;93414;80311;78998;78838;73729;66054;809;65502;64690;820.55;6.580943662;815.5689734;12.38700594;4.696555136;0.954095394;21.78430637;0.954110143;149;36943;149;0.124579831;149.2489779;4.741631298;2.781145923;0.864444353;7.377044222;0.864467753;62;34594;62;0.49595135;62.43738042;2.305713124;2.446017694;0.845533975;6.473915534;0.845558417
H2A17;Huasco;75626;64261;63399;63379;60599;54115;422;53800;53737;425.6666667;3.145207868;425.1807671;9.382996253;3.848389406;0.94160792;17.12561024;0.941625443;137;29214;137.8571429;1.394954084;138.2940822;5.422317389;2.542634598;0.845375293;6.467271736;0.845404231;55;27353;55.25;0.735663793;55.72700183;3.138816065;2.190151596;0.823728817;5.67307702;0.823758932
H2F18;Huasco;86305;71514;70826;70747;66701;61944;576;61684;61505;581.2;3.988636342;579.7705717;10.5380086;4.27078652;0.939179171;16.4417359;0.939194442;159;40293;159.75;1.423152527;159.8519561;5.165262643;2.742422442;0.860591038;7.17314;0.860612397;66;37569;66;0;66;3.027650354;2.37794402;0.839753588;6.240389332;0.839775941
H2A18;Huasco;94149;79320;77882;77582;71143;62884;766;62372;60658;774.25;4.854346476;773.4085319;12.13979374;4.744430761;0.955286697;22.36470884;0.955302446;140;34720;140.5;1.027017395;140.981822;4.849254551;2.809044232;0.867246385;7.532751528;0.867271364;73;32970;73;0.248281767;73.28126422;2.894484343;2.548403279;0.852868586;6.796645075;0.852894455
H3A17;Huasco;86834;71724;70682;70545;66413;61077;529;60597;60370;530.7142857;1.822604815;531.3991948;10.55635114;4.115397466;0.950181032;20.07267607;0.950196772;143;28104;144;1.580589728;144.1828119;5.792171599;2.597955221;0.846335756;6.507694783;0.846365871;60;26607;60.5;1.295454545;60.70321361;3.297487391;2.296413762;0.828627538;5.835243224;0.828658682
H3F18;Huasco;92761;82718;82145;81802;79648;74223;477;73986;73646;478.875;2.257140569;478.1767998;9.127892713;3.834628786;0.924253903;13.20200029;0.924266453;172;55376;172;0;172;5.388942167;2.755423307;0.867597659;7.552736565;0.867613327;69;51848;69;0;69;2.659410417;2.418991767;0.849120465;6.62780411;0.849136843
H3A18;Huasco;86338;75365;74135;73655;67595;58215;675;57772;57274;691.9166667;8.320804809;684.9073251;11.88745144;4.476154626;0.952370926;20.99557943;0.952387555;139;31628;142;3.183030467;142.6735956;4.898339777;2.691785887;0.856090919;6.948831824;0.856117988;67;30341;67;0.248127314;67.40769387;2.026884992;2.467164244;0.843678105;6.397056524;0.843705912
H4A17;Huasco;76299;63872;62852;62937;59058;52975;517;52494;52478;521.5;4.107623779;519.3015861;9.184755446;4.415291116;0.958744146;24.23898448;0.958762416;144;26687;144;0.099652173;144.2100937;5.359101946;2.793695285;0.863874611;7.346168196;0.863906983;60;24902;60;0;60;2.997220935;2.435510194;0.843764387;6.400589353;0.843798272
H4F18;Huasco;87176;74163;73446;73268;70236;65036;440;64832;64580;443.0555556;2.699624988;443.3229013;9.226773181;3.768987049;0.919751654;12.4613161;0.919765897;157;48422;159;2.884814091;158.1545745;5.145869193;2.667600795;0.858833407;7.083828979;0.858851144;68;45965;68;0;68;2.656844657;2.383766345;0.843409117;6.386067839;0.843427467
H4A18;Huasco;86715;74371;73486;73229;69665;62324;683;62003;611883;710;13.8182282;691.1448187;11.98433691;4.594076509;0.958818214;24.28257943;0.958833885;201;42289;208.2;6.440349392;204.2488581;6.316041301;3.36882133;0.916070447;11.91475429;0.91609211;77;39517;77;0;77;2.949796383;3.036620237;0.903958877;10.41220646;0.903981753
P1F18;Pta_Choros;75392;65662;65098;64836;62053;55794;393;55623;55532;400;6.655343248;394.9418233;8.057702431;4.446526684;0.970947764;34.42075823;0.970965249;129;31212;130;1.816649024;129.804436;4.41175887;3.335539971;0.92634785;13.57733621;0.92637753;72;29370;72;0;72;2.34520788;3.107215292;0.917185014;12.07510924;0.917216244
P1A18;Pta_Choros;87953;75596;73890;73515;67030;59515;871;58323;57776;880.8571429;5.48709825;878.9950711;12.66033321;5.382533739;0.984980573;66.58043779;0.984997622;212;21359;217.5;4.510480771;216.7598891;6.693264123;3.788274893;0.953967027;21.72355893;0.954011693;80;7793;80;0.165621724;80.17938703;3.771924834;3.248887883;0.926795079;13.66028386;0.926914021
