"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1385";"Huasco";"ASV2678";"Unique";0,476346271475901;60;2132,94205587071;2
"1386";"Huasco";"ASV2679";"Other";0,0972597355800191;28;8,21739130434783;1
"1387";"Huasco";"ASV2680";"Other";3,07904847578157e-05;3;135,577290277973;5
"1388";"Huasco";"ASV2691";"Other";0,0184533312841164;4;6,1233676359722;2
"1389";"Huasco";"ASV2692";"Other";0,0471279909852803;14;1043,10690512289;1
"1390";"Huasco";"ASV2695";"Other";0,000286048115250726;4;0;4
"1391";"Huasco";"ASV2696";"Other";0,000120684303972579;7;370,217552162399;3
"1392";"Huasco";"ASV2697";"Other";0,000115093254209942;30;4031,95969431385;3
"1393";"Huasco";"ASV2705";"Other";5,17464840945575e-07;5;851,276817298947;3
"1394";"Huasco";"ASV2706";"Other";0,000307549976743301;5;3713,55915402781;5
"1395";"Huasco";"ASV2707";"Shared";0,000350158427966891;1;0;1
"1396";"Huasco";"ASV2713";"Other";0,0161616864015401;18;8774,95011193533;4
"1397";"Huasco";"ASV2716";"Other";1,47168469270855e-05;2;322,238226502598;3
"1398";"Huasco";"ASV2717";"Unique";0,400630642836168;52;15168,7257165052;1
"1399";"Huasco";"ASV2718";"Unique";0,00459620934676956;23;2677,39417525055;5
"1400";"Huasco";"ASV2719";"Other";0,000869498460217393;14;3,95652173913043;5
"1401";"Huasco";"ASV2720";"Other";0,183817899443134;55;6151,36904786158;2
"1402";"Huasco";"ASV2721";"Other";0,000384749805136858;4;2444,55853756986;1
"1403";"Huasco";"ASV2728";"Other";0,166242710383182;45;5337,47610455634;2
"1404";"Huasco";"ASV2730";"Other";0,000401566693437594;2;1100,36418425448;3
"1405";"Huasco";"ASV2731";"Other";7,35468258433136e-06;2;0;4
"1406";"Huasco";"ASV2735";"Other";6,70012273646967e-07;2;327,842710722078;3
"1407";"Huasco";"ASV2736";"Other";0,324688161324703;40;11449,9598262444;2
"1408";"Huasco";"ASV2737";"Other";0,349616735281969;68;10840,3154840087;2
"1409";"Huasco";"ASV2738";"Unique";0,364612982169037;90;14268,5427495786;2
"1410";"Huasco";"ASV2739";"Other";0,00332106017382161;1;0;4
"1411";"Huasco";"ASV2740";"Unique";0,0829409200897739;133;8569,82656924005;4
"1412";"Huasco";"ASV2741";"Unique";0,0469425883381693;20;2665,01743440902;2
"1413";"Huasco";"ASV2755";"Other";5,80285943901185e-06;8;5239,03522477636;3
"1414";"Huasco";"ASV2757";"Other";0,00520480298802026;4;80,7877429499102;2
"1415";"Huasco";"ASV2759";"Other";7,49440651598771e-05;2;0;2
"1416";"Huasco";"ASV2763";"Other";0,185638914386174;45;567,763215927222;2
"1417";"Huasco";"ASV2764";"Other";1,15504651033773e-06;4;408,91581303818;3
"1418";"Huasco";"ASV2765";"Other";0,000953816724725335;6;8773,16626937791;1
"1419";"Huasco";"ASV2780";"Other";0,000169942202428283;8;82,2608132105252;3
"1420";"Huasco";"ASV2781";"Other";2,51568943256583e-05;1;0;9
"1421";"Huasco";"ASV2789";"Other";1,50151952823015e-06;1;0;2
"1422";"Huasco";"ASV2792";"Other";1,30194980524742e-05;29;2444,0278743723;3
"1423";"Huasco";"ASV2793";"Unique";0,0353439120251206;9;2211,41877785136;4
"1424";"Huasco";"ASV2794";"Other";0,753686158705285;76;47279,7862638714;1
"1425";"Huasco";"ASV2795";"Unique";0,0547330875017684;16;5102,43148063263;4
"1426";"Huasco";"ASV2808";"Other";0,0089996434861518;2;0,171142117483439;2
"1427";"Huasco";"ASV2811";"Other";0,000304299262305392;8;766,385316264523;4
"1428";"Huasco";"ASV2812";"Other";9,55458479161032e-06;3;0,699197609279538;3
"1429";"Huasco";"ASV2813";"Other";3,34781993939364e-08;3;0;23
"1430";"Huasco";"ASV2815";"Other";0,0033801708047306;22;12194,1234227489;4
"1431";"Huasco";"ASV2816";"Unique";0,00114160853181288;22;1314,16736668352;5
"1432";"Huasco";"ASV2817";"Other";2,55658531588555e-06;4;6480;28
"1433";"Huasco";"ASV2818";"Unique";0,000427971604385201;21;4074,64277252182;3
"1434";"Huasco";"ASV2819";"Unique";0,0555239272558977;40;1406,43101304007;4
"1435";"Huasco";"ASV2820";"Other";1,27487369727961e-06;2;0;4
"1436";"Huasco";"ASV2826";"Shared";6,38493778113049e-18;1;0;8
"1437";"Huasco";"ASV2829";"Other";4,86184984697302e-07;2;0;5
"1438";"Huasco";"ASV2832";"Other";0,002178680915531;2;300,404680823819;3
"1439";"Huasco";"ASV2833";"Other";5,31585566852085e-06;14;1158,94062521605;3
"1440";"Huasco";"ASV2834";"Other";0,00748388407595246;9;3194,30464352182;4
"1441";"Huasco";"ASV2836";"Other";0,481521229857768;76;6955,51617194102;1
"1442";"Huasco";"ASV2837";"Other";0,00461276485154478;3;40,6411577988444;2
"1443";"Huasco";"ASV2841";"Other";0,343624463868939;60;5277,79782260778;2
"1444";"Huasco";"ASV2843";"Unique";0,00114160853181285;22;1314,16736668352;5
"1445";"Huasco";"ASV2844";"Unique";0,0318946335972131;29;26970,0471708714;4
"1446";"Huasco";"ASV2845";"Other";0,0208536647349226;36;15368,3794294127;4
"1447";"Huasco";"ASV2846";"Unique";0,257059745468376;46;2078,81760085844;1
"1448";"Huasco";"ASV2854";"Other";2,04342440696209e-05;3;299,380999234827;3
"1449";"Huasco";"ASV2855";"Other";0,000180544940784112;3;505,158241736648;7
"1450";"Huasco";"ASV2859";"Unique";0,916245295230599;113;13842,7118162525;1
"1451";"Huasco";"ASV2860";"Unique";0,00459620934676955;23;2677,39417525055;5
"1452";"Huasco";"ASV2873";"Other";6,38273650618395e-08;1;0;9
"1453";"Huasco";"ASV2874";"Other";0,0890097483679465;21;842,59150593754;1
"1454";"Huasco";"ASV2877";"Other";1,44531105171438e-06;2;3,48311442733562;3
"1455";"Huasco";"ASV2878";"Other";0,00112811848419159;8;202,921020946905;4
"1456";"Huasco";"ASV2879";"Other";0,737950467087505;69;2703,41397477329;1
"1457";"Huasco";"ASV2880";"Other";2,41361950829799e-06;3;2798,97535534117;3
"1458";"Huasco";"ASV2882";"Other";0,00124962842393215;42;5989,80318914442;5
"1459";"Huasco";"ASV2883";"Unique";0,951222279364507;143;9612,33166556239;2
"1460";"Huasco";"ASV2884";"Other";0,00247674696691015;16;9,23076923076923;3
"1461";"Huasco";"ASV2885";"Other";0,0010324279118398;9;986,459417773312;4
"1462";"Huasco";"ASV2886";"Other";0,0113166224529419;4;2309,41691554073;1
"1463";"Huasco";"ASV2887";"Unique";0,0555239272558977;40;1406,43101304007;4
"1464";"Huasco";"ASV2888";"Other";0,000839916357730372;6;5139,38348467302;5
"1465";"Huasco";"ASV2898";"Other";4,93710925271919e-05;4;609,155789996329;3
"1466";"Huasco";"ASV2899";"Other";0,339303155792214;35;2726,66998208599;1
"1467";"Huasco";"ASV2900";"Other";0,000937919500230215;2;0;17
"1468";"Huasco";"ASV2901";"Other";0,0141380696326309;15;6254,67353503143;1
"1469";"Huasco";"ASV2905";"Other";0,00887179662941008;8;2353,80405445023;1
"1470";"Huasco";"ASV2906";"Other";0,000579099886055974;5;5188,61972434791;3
"1471";"Huasco";"ASV2909";"Other";0,00272193540581618;19;3585,85260398491;4
"1472";"Huasco";"ASV2910";"Unique";0,00362236060001354;67;13129,5026722563;5
"1473";"Huasco";"ASV2911";"Other";0,000125216731749891;9;2027,33602621943;3
"1474";"Huasco";"ASV2912";"Other";0,000543299701041062;3;0;4
"1475";"Huasco";"ASV2913";"Other";0,000711029054744888;1;0;4
"1476";"Huasco";"ASV2934";"Other";0,000276171130550998;3;11,030303030303;5
"1477";"Huasco";"ASV2939";"Other";0,000380736838822457;3;469,065088010713;4
"1478";"Huasco";"ASV2940";"Other";0,00035251838292177;13;1734,91068812762;3
"1479";"Huasco";"ASV2941";"Other";1,42232469899274e-05;3;238,808386259354;3
"1480";"Huasco";"ASV2942";"Other";0,44894003433245;55;2632,597788689;1
"1481";"Huasco";"ASV2944";"Other";0,187344053056034;53;4394,68560752923;2
"1482";"Huasco";"ASV2945";"Other";9,34687826707326e-05;19;1303,38914549853;3
"1483";"Huasco";"ASV2946";"Unique";9,83245757735369e-05;44;10888,5948167642;3
"1484";"Huasco";"ASV2947";"Unique";0,245773902021667;119;62142,7889713907;4
"1485";"Huasco";"ASV2948";"Other";1,28909596391843e-05;2;6480;20
"1486";"Huasco";"ASV2972";"Other";0,00180863339291063;8;4382,8887132156;2
"1487";"Huasco";"ASV2973";"Other";0,000380461862518163;15;1680,46223423847;5
"1488";"Huasco";"ASV2974";"Other";0,438346330439096;67;3645,90996788374;1
"1489";"Huasco";"ASV2976";"Other";0,016618356748886;35;1859,21655876636;4
"1490";"Huasco";"ASV2977";"Other";0,0157458435589546;29;863,638089753788;4
"1491";"Huasco";"ASV2978";"Other";5,19899486567437e-06;1;0;1
"1492";"Huasco";"ASV2984";"Other";1,9907226740003e-05;1;0;1
"1493";"Huasco";"ASV2986";"Other";0,110125926003689;32;205,972599961443;1
"1494";"Huasco";"ASV2991";"Other";0,315650208813683;50;2044,915330391;2
