"betweenness","colMeans..t..","degree","eigen","id","membership","name","Node_Category","selected","shared name"
"3400.58","0.06865603","24.0","3.805867E-4","ASV0001","3.0","ASV0001","Core","false","ASV0001"
"6164.166","0.06519901","14.0","2.048974E-5","ASV0002","3.0","ASV0002","Shared","false","ASV0002"
"2596.467","0.05244964","24.0","2.282131E-4","ASV0003","3.0","ASV0003","Core","false","ASV0003"
"6164.166","0.05068704","14.0","2.048974E-5","ASV0004","3.0","ASV0004","Shared","false","ASV0004"
"6635.381","0.04780087","15.0","2.435326E-5","ASV0005","3.0","ASV0005","Shared","false","ASV0005"
"2596.467","0.04870714","24.0","2.282131E-4","ASV0006","3.0","ASV0006","Core","false","ASV0006"
"1740.288","0.0308242","12.0","1.82059E-5","ASV0007","3.0","ASV0007","Shared","false","ASV0007"
"1326.453","0.03171705","22.0","2.270649E-4","ASV0008","3.0","ASV0008","Core","false","ASV0008"
"0.0","0.02344537","2.0","1.229142E-18","ASV0009","30.0","ASV0009","Shared","false","ASV0009"
"0.0","0.018181","2.0","1.374578E-18","ASV0010","30.0","ASV0010","Shared","false","ASV0010"
"0.0","0.017067","2.0","3.072561E-18","ASV0011","30.0","ASV0011","Shared","false","ASV0011"
"0.0","0.01192591","5.0","4.378436E-18","ASV0012","9.0","ASV0012","Shared","false","ASV0012"
"33247.05","0.009661703","33.0","5.86454E-4","ASV0013","3.0","ASV0013","Core","false","ASV0013"
"0.0","0.008952293","5.0","2.179625E-19","ASV0014","9.0","ASV0014","Shared","false","ASV0014"
"0.0","0.008568202","5.0","3.093597E-18","ASV0015","9.0","ASV0015","Shared","false","ASV0015"
"3834.504","0.007343837","32.0","2.039037E-4","ASV0016","3.0","ASV0016","Core","false","ASV0016"
"3457.172","0.006979088","31.0","1.538201E-4","ASV0017","3.0","ASV0017","Core","false","ASV0017"
"34.0","0.00639226","9.0","9.426092E-18","ASV0019","9.0","ASV0019","Shared","false","ASV0019"
"19745.99","0.004686034","43.0","0.1052277","ASV0020","3.0","ASV0020","Other","false","ASV0020"
"26.31955","0.004812431","15.0","2.518547E-5","ASV0021","3.0","ASV0021","Core","false","ASV0021"
"27.17037","0.004869491","4.0","6.514118E-7","ASV0022","3.0","ASV0022","Shared","false","ASV0022"
"18739.61","0.004302901","47.0","2.181097E-4","ASV0023","3.0","ASV0023","Core","false","ASV0023"
"8.0","0.004841851","8.0","6.930436E-18","ASV0024","9.0","ASV0024","Shared","false","ASV0024"
"0.0","0.004394467","2.0","1.15639E-18","ASV0025","33.0","ASV0025","Core","false","ASV0025"
"8.0","0.004538151","8.0","6.744688E-18","ASV0026","9.0","ASV0026","Shared","false","ASV0026"
"39.75483","0.004193911","2.0","1.713697E-6","ASV0027","3.0","ASV0027","Other","false","ASV0027"
"13313.41","0.003556601","38.0","0.09854264","ASV0028","3.0","ASV0028","Other","false","ASV0028"
"49.09355","0.00366805","18.0","3.517805E-5","ASV0029","3.0","ASV0029","Core","false","ASV0029"
"9411.157","0.003543865","25.0","0.004567544","ASV0030","3.0","ASV0030","Core","false","ASV0030"
"0.0","0.003705672","2.0","8.441794E-8","ASV0032","3.0","ASV0032","Core","false","ASV0032"
"2699.622","0.003287689","25.0","0.05159108","ASV0033","3.0","ASV0033","Other","false","ASV0033"
"16.16423","0.003408939","12.0","1.645605E-5","ASV0034","3.0","ASV0034","Core","false","ASV0034"
"29878.84","0.003285214","47.0","3.648748E-4","ASV0035","3.0","ASV0035","Core","false","ASV0035"
"2314.372","0.003245684","24.0","1.793856E-4","ASV0036","3.0","ASV0036","Core","false","ASV0036"
"0.0","0.003279206","2.0","1.919692E-18","ASV0037","33.0","ASV0037","Core","false","ASV0037"
