"betweenness","colMeans..t..","degree","eigen","id","membership","name","Node_Category","selected","shared name"
"2182.274","0.07070764","23.0","0.001412631","ASV0001","1.0","ASV0001","Core","false","ASV0001"
"5910.959","0.0652556","14.0","1.032254E-4","ASV0002","1.0","ASV0002","PPE","false","ASV0002"
"1301.906","0.05399059","23.0","9.050127E-4","ASV0003","1.0","ASV0003","Core","false","ASV0003"
"5910.959","0.05072311","14.0","1.032254E-4","ASV0004","1.0","ASV0004","PPE","false","ASV0004"
"6468.056","0.04783632","15.0","1.225093E-4","ASV0005","1.0","ASV0005","PPE","false","ASV0005"
"1301.906","0.05015305","23.0","9.050127E-4","ASV0006","1.0","ASV0006","Core","false","ASV0006"
"1742.729","0.03089373","12.0","9.028986E-5","ASV0007","1.0","ASV0007","PPE","false","ASV0007"
"763.6546","0.03265422","21.0","9.020046E-4","ASV0008","1.0","ASV0008","Core","false","ASV0008"
"0.0","0.02381649","2.0","0.0","ASV0009","34.0","ASV0009","PPE","false","ASV0009"
"0.0","0.01845705","2.0","0.0","ASV0010","34.0","ASV0010","PPE","false","ASV0010"
"0.0","0.01733047","2.0","0.0","ASV0011","34.0","ASV0011","PPE","false","ASV0011"
"0.0","0.01209531","5.0","0.0","ASV0012","13.0","ASV0012","PPE","false","ASV0012"
"23557.75","0.009834965","33.0","0.002096557","ASV0013","1.0","ASV0013","Core","false","ASV0013"
"0.0","0.009065313","5.0","0.0","ASV0014","13.0","ASV0014","PPE","false","ASV0014"
"0.0","0.008689689","5.0","0.0","ASV0015","13.0","ASV0015","PPE","false","ASV0015"
"4576.137","0.007464691","32.0","8.684045E-4","ASV0016","1.0","ASV0016","Core","false","ASV0016"
"3670.009","0.007099597","31.0","6.646022E-4","ASV0017","1.0","ASV0017","Core","false","ASV0017"
"47.0","0.006348698","10.0","0.0","ASV0019","13.0","ASV0019","PPE","false","ASV0019"
"9370.636","0.004862339","44.0","0.23191","ASV0020","2.0","ASV0020","Other","false","ASV0020"
"9.023185","0.004914281","15.0","1.321316E-4","ASV0021","1.0","ASV0021","Core","false","ASV0021"
"21.62641","0.004849327","4.0","4.262266E-6","ASV0022","1.0","ASV0022","PPE","false","ASV0022"
"22436.39","0.004401543","48.0","9.13674E-4","ASV0023","1.0","ASV0023","Core","false","ASV0023"
"8.0","0.004805158","8.0","0.0","ASV0024","13.0","ASV0024","PPE","false","ASV0024"
