"","Net","Connectance","Average_Degree","Diameter","Average_path_length","Cluster_coefficientt","Modularity","Number_of_clusters","Nodes","Edges"
"1","Chanaral",0.0109151352848832,13.9058823529412,16,5.16482279823224,0.511120814002873,0.563459691321442,93,1275,8865
"2","Flamenco",0.00933823330080243,14.3435263500325,18,5.18842927422042,0.466228081015609,0.564580023514621,71,1537,11023
"3","Huasco",0.00592527676926654,8.85828877005348,16,5.53774596648843,0.438312194894354,0.659483356321438,95,1496,6626
"4","Pta_Choros",0.00943396226415094,7.99056603773585,14,5.46920174271287,0.487008084658719,0.677621830782719,65,848,3388
"5","Quintero",0.00689329823468916,7.09320388349515,17,6.40237421648095,0.493898682893623,0.729192503017556,103,1030,3653
"6","Las_Cruces",0.00626389918458117,6.66478873239437,21,6.64680537040564,0.488752163377466,0.75552231326339,102,1065,3549
