"betweenness","colMeans..t..","degree","eigen","id","membership","name","Node_Category","selected","shared name"
"4563.31","0.06546929","22.0","3.525023E-4","ASV0001","1.0","ASV0001","Core","false","ASV0001"
"3065.921","0.06748948","13.0","1.872376E-5","ASV0002","1.0","ASV0002","Shared","false","ASV0002"
"5000.169","0.05001474","23.0","3.529931E-4","ASV0003","1.0","ASV0003","Core","false","ASV0003"
"3065.921","0.05248422","13.0","1.872376E-5","ASV0004","1.0","ASV0004","Shared","false","ASV0004"
"3357.833","0.04949618","14.0","2.542887E-5","ASV0005","1.0","ASV0005","Shared","false","ASV0005"
"5000.169","0.04646078","23.0","3.529931E-4","ASV0006","1.0","ASV0006","Core","false","ASV0006"
"769.4128","0.03189599","11.0","1.285952E-5","ASV0007","1.0","ASV0007","Shared","false","ASV0007"
"2415.927","0.03026933","21.0","2.425272E-4","ASV0008","1.0","ASV0008","Core","false","ASV0008"
"0.0","0.02428648","2.0","1.20977E-17","ASV0009","39.0","ASV0009","Shared","false","ASV0009"
"0.0","0.01883529","2.0","1.48479E-17","ASV0010","39.0","ASV0010","Shared","false","ASV0010"
"0.0","0.01766906","2.0","1.120117E-17","ASV0011","39.0","ASV0011","Shared","false","ASV0011"
"0.0","0.01235","5.0","3.514132E-17","ASV0012","8.0","ASV0012","Shared","false","ASV0012"
"5067.117","0.009461315","30.0","5.987215E-5","ASV0013","1.0","ASV0013","Core","false","ASV0013"
"0.0","0.009286059","5.0","3.280515E-17","ASV0014","8.0","ASV0014","Shared","false","ASV0014"
"0.0","0.008888468","5.0","3.674784E-17","ASV0015","8.0","ASV0015","Shared","false","ASV0015"
"5247.812","0.00720114","31.0","6.009685E-5","ASV0016","1.0","ASV0016","Core","false","ASV0016"
"5247.812","0.006856529","31.0","6.009685E-5","ASV0017","1.0","ASV0017","Core","false","ASV0017"
"7.0","0.006896199","7.0","4.509478E-17","ASV0019","8.0","ASV0019","Shared","false","ASV0019"
"9249.492","0.0062025","15.0","2.601444E-5","ASV0020","3.0","ASV0020","Other","false","ASV0020"
"67.41519","0.00476774","15.0","5.095939E-5","ASV0021","1.0","ASV0021","Core","false","ASV0021"
"12.64978","0.005053292","4.0","6.841238E-7","ASV0022","1.0","ASV0022","Shared","false","ASV0022"
"21088.72","0.004173522","47.0","6.693597E-4","ASV0023","1.0","ASV0023","Core","false","ASV0023"
"7.0","0.005244253","7.0","4.959043E-17","ASV0024","8.0","ASV0024","Shared","false","ASV0024"
"0.0","0.004300562","2.0","1.295577E-17","ASV0025","43.0","ASV0025","Core","false","ASV0025"
"7.0","0.004911675","7.0","5.216341E-17","ASV0026","8.0","ASV0026","Shared","false","ASV0026"
"41.39796","0.004322844","2.0","3.213095E-7","ASV0027","1.0","ASV0027","Other","false","ASV0027"
"80.11013","0.003630516","18.0","5.336012E-5","ASV0029","1.0","ASV0029","Core","false","ASV0029"
"8522.565","0.004858967","17.0","4.435361E-5","ASV0030","1.0","ASV0030","Core","false","ASV0030"
"0.0","0.00387923","3.0","1.610453E-17","ASV0031","30.0","ASV0031","Other","false","ASV0031"
"0.0","0.003715757","2.0","1.54591E-7","ASV0032","33.0","ASV0032","Core","false","ASV0032"
"3615.181","0.004346609","12.0","1.918379E-5","ASV0033","3.0","ASV0033","Other","false","ASV0033"
"39.07787","0.003374482","12.0","3.681525E-5","ASV0034","1.0","ASV0034","Core","false","ASV0034"
"22307.66","0.003182759","46.0","4.174485E-4","ASV0035","1.0","ASV0035","Core","false","ASV0035"
"4368.597","0.003093537","23.0","2.434833E-4","ASV0036","1.0","ASV0036","Core","false","ASV0036"
"0.0","0.003209039","2.0","1.362392E-17","ASV0037","43.0","ASV0037","Core","false","ASV0037"
"15229.36","0.002895501","47.0","5.022053E-4","ASV0038","1.0","ASV0038","Core","false","ASV0038"
"0.0","0.002961365","2.0","1.365653E-17","ASV0039","43.0","ASV0039","Core","false","ASV0039"
"1080.5","0.002878421","3.0","5.720226E-6","ASV0040","33.0","ASV0040","Core","false","ASV0040"
"0.0","0.00292287","3.0","2.123328E-17","ASV0042","30.0","ASV0042","Core","false","ASV0042"
"1080.5","0.002724397","3.0","5.720226E-6","ASV0043","33.0","ASV0043","Core","false","ASV0043"
"0.0","0.002849084","3.0","3.258718E-7","ASV0044","22.0","ASV0044","Shared","false","ASV0044"
"323.0299","0.003516636","5.0","1.240316E-6","ASV0045","3.0","ASV0045","Core","false","ASV0045"
"0.0","0.002773178","3.0","2.045824E-17","ASV0046","30.0","ASV0046","Other","false","ASV0046"
"41.69619","0.002550297","24.0","0.002347007","ASV0048","1.0","ASV0048","Core","false","ASV0048"
"0.0","0.002518322","3.0","2.823158E-7","ASV0049","3.0","ASV0049","Shared","false","ASV0049"
"2205.718","0.002365022","20.0","2.419358E-4","ASV0050","1.0","ASV0050","Core","false","ASV0050"
"10.44011","0.002805531","4.0","9.989032E-6","ASV0051","3.0","ASV0051","Other","false","ASV0051"
"2205.718","0.002186414","20.0","2.419358E-4","ASV0053","1.0","ASV0053","Core","false","ASV0053"
"0.0","0.002078813","2.0","9.686259E-5","ASV0055","4.0","ASV0055","Other","false","ASV0055"
"9439.185","0.002387638","25.0","0.005725109","ASV0056","1.0","ASV0056","Core","false","ASV0056"
"0.0","0.002517831","4.0","2.98119E-17","ASV0057","8.0","ASV0057","Shared","false","ASV0057"
"10790.0","0.002451068","6.0","3.260531E-7","ASV0058","22.0","ASV0058","Shared","false","ASV0058"
"2491.403","0.002157995","8.0","1.172919E-6","ASV0059","22.0","ASV0059","Shared","false","ASV0059"
"1.0","0.0019234","5.0","3.057268E-7","ASV0060","3.0","ASV0060","Other","false","ASV0060"
"1733.175","0.002122361","9.0","2.862846E-6","ASV0061","1.0","ASV0061","Shared","false","ASV0061"
"1508.215","0.001937679","15.0","2.795621E-5","ASV0062","1.0","ASV0062","Shared","false","ASV0062"
"0.0","0.002015237","4.0","7.861473E-5","ASV0063","1.0","ASV0063","Core","false","ASV0063"
"29.00851","0.00183161","21.0","0.001654003","ASV0064","1.0","ASV0064","Core","false","ASV0064"
"136.3607","0.002146399","7.0","1.937831E-5","ASV0065","3.0","ASV0065","Other","false","ASV0065"
"533.8018","0.002145256","4.0","1.473618E-6","ASV0066","3.0","ASV0066","Shared","false","ASV0066"
"24054.36","0.001987209","10.0","2.261706E-5","ASV0067","22.0","ASV0067","Shared","false","ASV0067"
"128.8429","0.002452064","13.0","1.832992E-5","ASV0068","3.0","ASV0068","Shared","false","ASV0068"
"0.0","0.00247275","3.0","1.963803E-17","ASV0069","27.0","ASV0069","Other","false","ASV0069"
"0.0","0.001786198","3.0","2.823158E-7","ASV0070","3.0","ASV0070","Other","false","ASV0070"
"0.0","0.001968631","1.0","7.858586E-18","ASV0071","72.0","ASV0071","Core","false","ASV0071"
"13369.17","0.001821532","43.0","0.009758033","ASV0072","1.0","ASV0072","Core","false","ASV0072"
"437.1559","0.001714825","31.0","0.004159653","ASV0073","1.0","ASV0073","Core","false","ASV0073"
"67.18815","0.002011543","5.0","1.508755E-5","ASV0074","3.0","ASV0074","Other","false","ASV0074"
"0.0","0.001841994","3.0","2.141598E-17","ASV0075","30.0","ASV0075","Other","false","ASV0075"
"0.0","0.001730785","2.0","1.272811E-17","ASV0076","42.0","ASV0076","Other","false","ASV0076"
"0.0","0.001821252","3.0","2.829178E-8","ASV0077","29.0","ASV0077","Core","false","ASV0077"
