;Samples;NMDS1;NMDS2;Label;Date;Site;Vanadium;Iron;Nickel;Copper;Zinc;Molybdenum;Cu_Level
52;L1A17;0,347170556419681;0,0529062051214439;NL1;A17;Las_Cruces;0;3,05;0,22;0,29;2,24;5,59;Lower
53;L1F18;0,438642788745714;0,333253930359844;ML1;F18;Las_Cruces;5;55,6;11,2;5;20;16,2;Higher
54;L1A18;0,3909798607349;0,021688480117971;ML1;A18;Las_Cruces;5;39,6;26,5;5;20,4;20,5;Higher
55;L2A17;0,325704895406105;0,0542764047542681;NL2;A17;Las_Cruces;0,19;0,57;0,54;0;0;6,24;Lower
56;L2F18;0,187534238003399;0,0406632975715899;ML2;F18;Las_Cruces;5;27,9;10,5;5;20;15,2;Higher
57;L2A18;0,345329466599863;0,0776960424745438;ML2;A18;Las_Cruces;5;26,1;28,8;5;20;31,8;Higher
58;L3A17;0,364371906449488;0,0624202366135005;NL3;A17;Las_Cruces;0;1,34;2,05;0,19;1,68;7,5;Lower
59;L3F18;0,257420828894832;0,06094284800717;ML3;F18;Las_Cruces;5;45,7;13,2;5;20;16,1;Higher
60;L3A18;0,366536836337316;-0,0186695094235365;ML3;A18;Las_Cruces;5;20;27,9;5;20;47,9;Higher
61;L4A17;0,393789413257102;0,0545463428561155;NL4;A17;Las_Cruces;0,21;1,76;0,9;0,75;0;7,17;Lower
62;L4F18;0,24346347320019;0,0111998399864911;ML4;F18;Las_Cruces;5;30,9;13,4;5;22,6;16,5;Higher
63;L4A18;0,337242550497793;0,0815696660398274;ML4;A18;Las_Cruces;5;20;28,3;5;20;34,8;Higher
